year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,saleday
2013,Kia,Optima,LX,Sedan,automatic,5XXGM4A72DG248132,CA,22.0,14061,Black,Gray,kia motors finance,14150,11700,2014-12-16,Tuesday
2013,Kia,Soul,Base,Wagon,manual,KNDJT2A54D7539154,CA,1.0,11699,Silver,Black,kia motors finance,11400,6900,2014-12-16,Tuesday
2013,Kia,Optima,SX,Sedan,automatic,5XXGR4A68DG228640,CA,42.0,14012,Black,Black,kia motors finance,22200,22200,2014-12-16,Tuesday
2013,Kia,Rio,SX,Hatchback,manual,KNADN5A32D6147221,CA,46.0,4668,Red,Black,kia motors finance,14050,14200,2014-12-16,Tuesday
2013,Kia,Soul,+,Wagon,manual,KNDJT2A64D7494239,CA,2.0,59886,Black,Black,hyundai motor finance,10200,7000,2014-12-16,Tuesday
2013,Kia,Rio,LX,Hatchback,automatic,KNADM5A38D6292461,CA,2.0,4850,Red,Black,kia motors finance,10650,6300,2014-12-16,Tuesday
2013,Kia,Optima,LX,Sedan,automatic,5XXGM4A70DG226694,CA,48.0,8177,Silver,Gray,kia motors finance,14450,15300,2014-12-16,Tuesday
2013,Kia,Optima,LX,Sedan,automatic,KNAGM4A75D5442817,CA,42.0,13929,White,Beige,kia motors finance,14150,14300,2014-12-16,Tuesday
2013,Kia,Optima,SX,Sedan,automatic,5XXGR4A61DG178423,CA,36.0,11238,Gray,Black,kia motors finance,22400,23000,2014-12-16,Tuesday
2013,Kia,Forte,EX,Sedan,automatic,KNAFU4A20D5658140,CA,37.0,33980,Gray,Gray,kia motors finance,10200,10400,2014-12-16,Tuesday
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1VWBP7A36DC103091,CA,1.0,22907,White,Black,vw credit,14450,8000,2014-12-16,Tuesday
2013,Toyota,Corolla,LE,Sedan,automatic,5YFBU4EE5DP216754,CA,1.0,34915,Black,Gray,enterprise vehicle exchange / tra / rental / tulsa,11400,9200,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA69FG566472,CA,5.0,16639,White,Black,kia motors america  inc,20500,21500,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA69FG561319,CA,5.0,9393,White,Beige,kia motors america  inc,20800,21500,2014-12-16,Tuesday
2014,Audi,A6,3.0T Prestige quattro,Sedan,automatic,WAUHGAFC0EN062916,CA,48.0,14414,Black,Black,desert auto trade,47300,49750,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA66FG561407,CA,5.0,14634,Silver,Black,kia motors america  inc,20600,21500,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA60FG565226,CA,5.0,13757,Red,Black,kia motors america  inc,20600,20750,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA68FG559481,CA,44.0,12862,Gray,Black,kia motors america  inc,20700,21000,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA67FG570973,CA,5.0,13878,Silver,Black,kia motors america  inc,20600,20750,2014-12-16,Tuesday
